source,agg,thr,alertes,taux_%,recall_rt_%,n_rt,FP_nouveaute
auth,max,7.692,351,6.343,97.6,329,0
auth,topk2,5.595,346,6.252,99.1,329,0
auth,topk3,4.619,347,6.27,98.8,329,0
auth,lse_tau1,5.217,352,6.361,97.9,329,0
auth,lse_tau2,3.63,348,6.288,97.9,329,0
auth,lse_tau4,2.304,343,6.198,98.8,329,0
auth,lse_tau8,1.754,343,6.198,98.8,329,0
syslog,max,14.598,70,0.175,,0,60
syslog,topk2,9.274,72,0.18,,0,57
syslog,topk3,6.639,76,0.19,,0,54
syslog,lse_tau1,12.495,71,0.178,,0,60
syslog,lse_tau2,10.391,72,0.18,,0,60
syslog,lse_tau4,7.544,72,0.18,,0,56
syslog,lse_tau8,5.065,69,0.172,,0,54
auditd,max,10.584,636,0.805,10.8,295,529
auditd,topk2,7.473,554,0.701,8.8,295,490
auditd,topk3,5.887,531,0.672,7.5,295,478
auditd,lse_tau1,8.161,633,0.801,10.8,295,529
auditd,lse_tau2,5.728,640,0.81,10.8,295,533
auditd,lse_tau4,3.798,604,0.764,10.8,295,523
auditd,lse_tau8,2.673,535,0.677,9.2,295,483
